,siteName,siteLat,siteLon,siteLandCover,H_DCA,H_insitu,H_Tbh,H_Tbv,H_Teff,MI_dca_insitu,MI_hv_dca,MI_hv_temp_insitu,U_h,U_v,S,R_s,corrSM,corrHV,mean_LAI,std_LAI,numPoints,range
14,AZ_Yuma_27_ENE,32.84,-114.19,Shrublands,0.4245043704805904,0.3558374643496494,0.3812729221226572,0.3745337326850803,0.3383676783167592,0.05730527465949797,0.12532110427909804,0.1382020200148183,0.0280571580047054,0.013572035837780633,0.024676727905149215,0.05901518253146279,0.4434107201644158,0.9798154462307962,0.22545166666666677,0.22418305555555543,761,22.249173960140595
15,CA_Merced_23_WSW,37.24,-120.88,Croplands,0.3167359786137493,0.2714070024667601,0.33544305238352373,0.338350959147819,0.3608322391058157,0.08718554413475732,0.17520016337183286,0.1295090139240993,0.0011815284370267631,0.009265153072974847,0.003076588758238824,0.16167689310359243,0.8702741770933866,0.9967006448910812,0.809839101123595,0.4968287640449435,1418,21.576487370371314
16,ID_Arco_17_SW,43.46,-113.56,Grasslands,0.36475208049455077,0.26185048633050456,0.36316747164939744,0.3610661077057453,0.375703773084675,0.06361909143270617,0.14441768448819814,0.12074604524937371,0.022466389289297048,0.003787668220118931,0.0069830142852137095,0.11118061269356845,0.6968338047837069,0.989357202375295,0.4125441696113075,0.2391540636042402,956,15.278325324277997
17,ID_Murphy_10_W,43.2,-116.75,Grasslands,0.36675993146298275,0.36567362866335673,0.3778974529652387,0.37437551049405304,0.38004047025780785,0.052254836823477646,0.14033315895998477,0.171817188050291,0.023324926237957747,0.006575828320403557,0.011702680958637732,0.09872972344298574,0.6159402052711255,0.9884256306220442,0.35180846994535503,0.18010437158469952,1126,18.826101137096884
18,NV_Baker_5_W,39.01,-114.21,Grasslands,0.411196572664689,0.35823123001752216,0.39197381946518517,0.38179691823040884,0.3835913222624918,0.04472860014098656,0.11756187903139825,0.17608353175604985,0.036220903201282365,0.023426906451135886,0.031011376286249382,0.026902693092730624,0.5177110740640758,0.9704061566514693,0.32727552083333317,0.23449713541666647,1002,18.431257617211866
19,NV_Denio_52_WSW,41.85,-119.64,Grasslands,0.37190328305952597,0.32345806135609423,0.38428305765780274,0.39176734539786406,0.37947810119912323,0.06652717047554257,0.13312222095114945,0.1658205593770894,0.017627566247641085,0.008026672510550587,0.014156325227364736,0.09331165696559304,0.7348639893398985,0.9888648595116627,0.2959008771929824,0.11767251461988316,1112,18.06822679368712
20,NV_Mercury_3_SSW,36.62,-116.02,Shrublands,0.4239629424509719,0.3395643927571037,0.37396559273895885,0.36538235568244987,0.3585238102478838,0.03561448370328468,0.0995027590518015,0.1162893089052861,0.027962027977061286,0.01482380097701199,0.024440426842940323,0.032276503254787904,0.42685625045891884,0.9828124749090817,0.15503697104677058,0.04847260579064592,1160,20.476178346831222
21,OR_John_Day_35_WNW,44.56,-119.65,Mixed,0.3425000063124445,0.36403613387765493,0.3588145446113913,0.3595548265859984,0.38225995300627047,0.06255683563213066,0.14426077127059067,0.15933961930935991,0.01707516623485132,0.003157260761408473,0.00681186197481283,0.11721648229951805,0.7006312272586387,0.9916076637930948,0.5231999999999998,0.3422187150837992,975,12.664580391125801
22,OR_Riley_10_WSW,43.47,-119.69,Grasslands,0.364416711044667,0.3492744974868244,0.3788979217070524,0.37422304487049,0.3785959702250713,0.06467390194739309,0.1432382118749982,0.17003654810887248,0.029881871376417,0.008518935739095498,0.013510029421796757,0.09132737533768893,0.7263866258765587,0.9849895434454161,0.2401707317073171,0.1150219512195122,955,17.25002289617249
23,UT_Brigham_City_28_WNW,41.62,-112.54,Grasslands,0.3641218876221993,0.33179819530998755,0.33736090912558947,0.3450356952678347,0.36890780871841766,0.08340163240375176,0.14194053723874422,0.15982108372407333,0.006794773486812719,0.004946303922728698,0.009985781222919224,0.12021367860628358,0.7811535173538152,0.9917235994446107,0.3804429411764704,0.20740058823529423,879,20.395467747329175
