,siteName,siteLat,siteLon,siteLandCover,H_DCA,H_insitu,H_Tbh,H_Tbv,H_Teff,MI_dca_insitu,MI_hv_dca,MI_hv_temp_insitu,U_h,U_v,S,R_s,corrSM,corrHV,mean_LAI,std_LAI,numPoints,range
0,AL_Gadsden_19_N,34.29,-85.96,Croplands,0.3669635428059171,0.36435220175568306,0.3304508145137112,0.3313708006361013,0.35388460379081704,0.09916630859794007,0.1124754384459602,0.1430030219887044,0.004203104013752151,0.0043541583736778355,0.007475428225294428,0.09644274783323578,0.8767183862812626,0.98995786886435,1.7419447432762836,0.8022083129584351,1575,15.641857396685888
1,GA_Newton_11_SW,31.19,-84.45,Mixed,0.37576286461403424,0.3378756272894512,0.3432272149058986,0.3507334475358494,0.3805402820190234,0.08858155374695809,0.11966012945446847,0.16526791814672515,0.015233511052029927,0.004964624136560916,0.00953884389999464,0.08992315036588298,0.8043327432417885,0.9902570843936076,1.3035627450980394,0.7364254901960783,799,16.651664858019547
2,GA_Newton_8_W,31.31,-84.47,Mixed,0.36859603693732285,0.3513542679262661,0.3461980414164612,0.35584517061587057,0.3688707644849233,0.07920338076363886,0.10495385817208025,0.15974425189447672,0.010406626050919202,0.005361339954721281,0.009901001028423548,0.07928489113801622,0.787460993927799,0.9905711050482897,1.4419710706150348,0.8516227790432804,1651,16.92993835042564
3,IA_Des_Moines_17_E,41.56,-93.29,Croplands,0.40226639815680376,0.3780712425063364,0.3615548913031043,0.3494606451956288,0.337541990664373,0.05027051972694552,0.09001692074811174,0.15616677480799634,0.014917422041974673,0.01986720595883741,0.01935776242264374,0.035874530324655915,0.6137971592024384,0.9796659807986726,0.991917119565217,0.41850217391304356,1277,23.440375893397917
4,IL_Shabbona_5_NNE,41.84,-88.85,Croplands,0.3891215805982512,0.37087934291948543,0.35681859077690675,0.3559823457934632,0.3333336485431716,0.051018196737751764,0.11379543201021003,0.15646213299221712,0.014766334736943512,0.01221917858778139,0.01524239390008246,0.07156752478540267,0.6613175370800213,0.9763841478932609,0.808999689440994,0.3242288819875776,1101,24.701580799459652
5,IN_Bedford_5_WNW,38.89,-86.57,Croplands,0.3994103091470658,0.4050776513835177,0.384639054665774,0.40435837746329406,0.3639050085454907,0.04617404978474782,0.1129049894681835,0.2440918947062467,0.029080920709953266,0.03232746246627082,0.026074974768921517,0.025421631523037898,0.4469675878549043,0.9512437216656415,1.7382780821917814,0.8467115068493148,734,15.271172567674185
6,MN_Goodridge_12_NNW,48.31,-95.87,Croplands,0.40043366247653145,0.39730249772753656,0.40325271635773574,0.3924217995128975,0.36595931793206476,0.0997434499059392,0.18015675941132903,0.24521313567103376,0.037145461061104904,0.012648750674663492,0.014925674124069796,0.11543687355149083,0.8258168870103562,0.974005106572488,1.3854140221402211,0.6577970479704802,899,23.083663074803166
7,MO_Chillicothe_22_ENE,39.87,-93.15,Croplands,0.37350002174088687,0.35478866098222145,0.3654852492262519,0.35832178184448543,0.33842131230333733,0.07021664031897501,0.10880507404846607,0.14650108883365787,0.009915964742772454,0.010791470414128312,0.014511523292827122,0.07358611559873818,0.7743242156488931,0.9837822567180617,1.0586714987714987,0.40662972972972944,1418,22.649593498542043
8,MO_Joplin_24_N,37.43,-94.58,Mixed,0.3834623846001405,0.3663825378769251,0.38403309777082656,0.36914307292555576,0.344694843954872,0.06629905317715723,0.1227663075225961,0.1735172228543591,0.011048476966311685,0.014726780373251105,0.015980670050118648,0.08101038013291466,0.7113353733010007,0.984144792114992,1.219122897196261,0.5564434579439248,1531,25.262932307108176
9,MS_Holly_Springs_4_N,34.82,-89.43,Croplands,0.3453480353835465,0.37232586866300166,0.328320068698567,0.3253666675511319,0.35160318528988943,0.08502381497750133,0.12909056533065177,0.13251009217068155,0.0064273356929708675,0.0039002424815694353,0.006776211487607944,0.11198677566850353,0.8306213318882459,0.9900575914459809,2.0118662531017386,0.8142843672456582,1360,15.084440433277804
10,ND_Northgate_5_ESE,48.97,-102.17,Croplands,0.3947136898742043,0.3702413646343382,0.38261923875240894,0.3684103531282491,0.3672753791184388,0.09964230344449987,0.13985233749802306,0.2063664788815821,0.017603332333304578,0.00853425477483405,0.012092759335155856,0.10162199105472858,0.8242442320529824,0.9829114207644456,1.0517861702127667,0.45869645390070907,1196,24.928288718131075
11,SD_Aberdeen_35_WNW,45.71,-99.13,Croplands,0.39059093492601643,0.3351187933743815,0.3744249396184586,0.37373529816481477,0.36925300324231686,0.06404563577919031,0.13551124922392888,0.18645943648039232,0.01800474449939332,0.020661698072870716,0.01911655747193214,0.0777282491797327,0.7016069942234344,0.9736751095578176,1.0970726384364826,0.4358394136807816,1308,27.591893677317767
12,SD_Sioux_Falls_14_NNE,43.73,-96.62,Croplands,0.4057349920879115,0.3859054647046902,0.3724949392396697,0.38155880084876626,0.38066323963182014,0.05672532456546664,0.13650597493680783,0.20196381772476435,0.025567987862202962,0.013456479443488517,0.01812058225687138,0.07936092537424497,0.5681753794171374,0.9783915172445464,1.1786683333333334,0.41167111111111093,593,23.900931733052605
13,AZ_Williams_35_NNW,35.76,-112.34,Grasslands,0.37785300915611814,0.38872731209834166,0.3858378989939028,0.3917209650547964,0.37292963270656926,0.04258210271436258,0.14206342356222112,0.18210446740842812,0.04985407759795139,0.026596543275299075,0.02944159081374749,0.036171211875223166,0.459927399427317,0.9702397364715609,0.23758022988505753,0.0671740229885057,938,16.713930044601213
