,sitename,site_ID,links
35,KS_Manhattan_6_SSW,site_35,https://modis.ornl.gov/subsetdata/04Jan2021_14:32:53_784816950L39.1L-96.61S17L17_MCD15A3H_site_35/csv/12q1.csv
36,KS_Oakley_19_SSW,site_36,https://modis.ornl.gov/subsetdata/04Jan2021_14:32:59_100667711L38.87L-100.96S17L17_MCD15A3H_site_36/csv/12q1.csv
37,KY_Bowling_Green_21_NNE,site_37,https://modis.ornl.gov/subsetdata/04Jan2021_14:33:10_888531096L37.25L-86.23S17L17_MCD15A3H_site_37/csv/12q1.csv
38,KY_Versailles_3_NNW,site_38,https://modis.ornl.gov/subsetdata/04Jan2021_14:33:24_118977501L38.09L-84.75S17L17_MCD15A3H_site_38/csv/12q1.csv
39,LA_Lafayette_13_SE,site_39,https://modis.ornl.gov/subsetdata/04Jan2021_14:33:30_978665408L30.09L-91.87S17L17_MCD15A3H_site_39/csv/12q1.csv
40,LA_Monroe_26_N,site_40,https://modis.ornl.gov/subsetdata/04Jan2021_14:33:38_042643513L32.88L-92.12S17L17_MCD15A3H_site_40/csv/12q1.csv
41,ME_Limestone_4_NNW,site_41,https://modis.ornl.gov/subsetdata/04Jan2021_14:33:54_781483344L46.96L-67.88S17L17_MCD15A3H_site_41/csv/12q1.csv
42,ME_Old_Town_2_W,site_42,https://modis.ornl.gov/subsetdata/04Jan2021_14:34:03_578584885L44.93L-68.7S17L17_MCD15A3H_site_42/csv/12q1.csv
43,MI_Chatham_1_SE,site_43,https://modis.ornl.gov/subsetdata/04Jan2021_14:34:13_093902208L46.33L-86.92S17L17_MCD15A3H_site_43/csv/12q1.csv
44,MI_Gaylord_9_SSW,site_44,https://modis.ornl.gov/subsetdata/04Jan2021_14:34:24_401863274L44.91L-84.72S17L17_MCD15A3H_site_44/csv/12q1.csv
45,MN_Goodridge_12_NNW,site_45,https://modis.ornl.gov/subsetdata/04Jan2021_14:34:30_468676354L48.31L-95.87S17L17_MCD15A3H_site_45/csv/12q1.csv
46,MN_Sandstone_6_W,site_46,https://modis.ornl.gov/subsetdata/04Jan2021_14:34:42_020682565L46.11L-92.99S17L17_MCD15A3H_site_46/csv/12q1.csv
47,MO_Chillicothe_22_ENE,site_47,https://modis.ornl.gov/subsetdata/04Jan2021_14:34:54_528014148L39.87L-93.15S17L17_MCD15A3H_site_47/csv/12q1.csv
48,MO_Joplin_24_N,site_48,https://modis.ornl.gov/subsetdata/04Jan2021_14:35:01_156584175L37.43L-94.58S17L17_MCD15A3H_site_48/csv/12q1.csv
49,MO_Salem_10_W,site_49,https://modis.ornl.gov/subsetdata/04Jan2021_14:35:07_741457764L37.63L-91.72S17L17_MCD15A3H_site_49/csv/12q1.csv
50,MS_Holly_Springs_4_N,site_50,https://modis.ornl.gov/subsetdata/04Jan2021_14:35:15_947072115L34.82L-89.43S17L17_MCD15A3H_site_50/csv/12q1.csv
51,MS_Newton_5_ENE,site_51,https://modis.ornl.gov/subsetdata/04Jan2021_14:35:28_499976021L32.34L-89.07S17L17_MCD15A3H_site_51/csv/12q1.csv
52,MT_Dillon_18_WSW,site_52,https://modis.ornl.gov/subsetdata/04Jan2021_14:35:40_068153269L45.16L-113.01S17L17_MCD15A3H_site_52/csv/12q1.csv
53,MT_Lewistown_42_WSW,site_53,https://modis.ornl.gov/subsetdata/04Jan2021_14:35:50_628559578L46.88L-110.29S17L17_MCD15A3H_site_53/csv/12q1.csv
54,MT_St._Mary_1_SSW,site_54,https://modis.ornl.gov/subsetdata/04Jan2021_14:36:01_039267102L48.74L-113.43S17L17_MCD15A3H_site_54/csv/12q1.csv
55,MT_Wolf_Point_29_ENE,site_55,https://modis.ornl.gov/subsetdata/04Jan2021_14:36:07_580250215L48.31L-105.1S17L17_MCD15A3H_site_55/csv/12q1.csv
56,MT_Wolf_Point_34_NE,site_56,https://modis.ornl.gov/subsetdata/04Jan2021_14:36:13_303486550L48.49L-105.21S17L17_MCD15A3H_site_56/csv/12q1.csv
57,NC_Asheville_13_S,site_57,https://modis.ornl.gov/subsetdata/04Jan2021_14:36:26_236728786L35.42L-82.56S17L17_MCD15A3H_site_57/csv/12q1.csv
58,NC_Asheville_8_SSW,site_58,https://modis.ornl.gov/subsetdata/04Jan2021_14:36:36_358292683L35.49L-82.61S17L17_MCD15A3H_site_58/csv/12q1.csv
59,NC_Durham_11_W,site_59,https://modis.ornl.gov/subsetdata/04Jan2021_14:36:46_635914298L35.97L-79.09S17L17_MCD15A3H_site_59/csv/12q1.csv
